latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
51.89673,29.34243,304.92,1.14,1.07,2021-10-19,00:05,A,62,6.1NRT,274.08,14.32,N
27.65434,22.48579,306,1.16,1.07,2021-10-19,00:11,A,64,6.1NRT,290.78,9.36,N
30.61904,25.9919,305.07,1,1,2021-10-19,00:11,A,63,6.1NRT,285.08,8.75,N
28.69564,22.37972,303.2,1.2,1.09,2021-10-19,00:11,A,54,6.1NRT,288.2,9.51,N
28.90841,19.77575,310.84,1.72,1.29,2021-10-19,00:11,A,81,6.1NRT,275.53,31.11,N
27.99252,22.32357,309.78,1.19,1.08,2021-10-19,00:11,A,78,6.1NRT,289.89,14.31,N
27.99103,22.33552,302.22,1.18,1.08,2021-10-19,00:11,A,48,6.1NRT,289.86,8.19,N
27.58157,22.40928,304.29,1.16,1.07,2021-10-19,00:11,A,59,6.1NRT,290.68,9.03,N
27.64177,22.5075,301.64,1.15,1.07,2021-10-19,00:11,A,16,6.1NRT,290.47,5.98,N
31.37409,30.33379,301.46,1.37,1.16,2021-10-19,00:11,A,41,6.1NRT,291.02,8.25,N
11.99407,20.90226,301.59,1.01,1,2021-10-19,00:18,A,42,6.1NRT,280.12,4.99,N
12.15206,21.20829,307.71,1,1,2021-10-19,00:18,A,72,6.1NRT,281.45,8.89,N
12.16553,20.7935,305.84,1.01,1.01,2021-10-19,00:18,A,66,6.1NRT,283.2,7.21,N
-16.82855,20.00251,345.47,1.59,1.24,2021-10-19,00:24,A,100,6.1NRT,290.63,109.3,N
-16.82667,19.98766,316.47,1.59,1.24,2021-10-19,00:24,A,93,6.1NRT,286.3,32.31,N
-16.82757,19.99582,337.88,1.59,1.24,2021-10-19,00:24,A,100,6.1NRT,289.07,82.76,N
-16.82935,20.01072,321.4,1.6,1.24,2021-10-19,00:24,A,100,6.1NRT,288.79,41.14,N
-23.87682,22.2897,303.83,2.93,1.63,2021-10-19,00:26,A,57,6.1NRT,286.13,37.61,N
-25.0801,22.14252,309.07,2.96,1.64,2021-10-19,00:26,A,76,6.1NRT,283.75,59.15,N
-25.07756,22.11313,316.77,2.94,1.63,2021-10-19,00:26,A,94,6.1NRT,284.59,88.18,N
-23.96761,21.42226,306.43,2.54,1.53,2021-10-19,00:26,A,68,6.1NRT,284.09,39.33,N
-23.97519,21.42667,311.29,2.54,1.53,2021-10-19,00:26,A,82,6.1NRT,284.06,53.83,N
-23.87767,22.28434,307.32,2.93,1.63,2021-10-19,00:26,A,71,6.1NRT,286.43,47.28,N
-23.87519,22.25553,301.14,2.91,1.63,2021-10-19,00:26,A,38,6.1NRT,286.36,29.11,N
-23.87415,22.26092,304.81,2.91,1.63,2021-10-19,00:26,A,62,6.1NRT,286.45,39.76,N
-13.02029,-40.92432,309.68,4.82,2,2021-10-19,00:35,T,78,6.1NRT,289.68,74.02,N
-11.16838,-38.20485,301.6,2.8,1.6,2021-10-19,00:35,T,43,6.1NRT,290.13,22.74,N
-9.8764,-36.44807,317.51,1.95,1.36,2021-10-19,00:35,T,95,6.1NRT,290.62,40.95,N
-9.40954,-35.99284,301.56,1.77,1.3,2021-10-19,00:35,T,42,6.1NRT,291.34,9.13,N
-7.28449,-37.68864,308.66,2.23,1.45,2021-10-19,00:35,T,53,6.1NRT,293.72,19.77,N
-7.16603,-37.37541,307.34,2.09,1.41,2021-10-19,00:35,T,64,6.1NRT,291.84,16.77,N
-6.65228,-41.32809,302.59,4.22,1.9,2021-10-19,00:35,T,46,6.1NRT,290,28.85,N
-6.64931,-41.33528,303.07,4.22,1.9,2021-10-19,00:35,T,49,6.1NRT,289.9,31.73,N
-4.86405,-40.79094,304.38,3.6,1.78,2021-10-19,00:35,T,58,6.1NRT,290.99,25.03,N
-4.87124,-40.7954,304.63,3.6,1.78,2021-10-19,00:35,T,60,6.1NRT,290.72,25.18,N
-13.01827,-40.91945,308.48,4.82,2,2021-10-19,00:35,T,75,6.1NRT,289.64,71.44,N
48.15627,132.21002,302.48,4.38,1.93,2021-10-19,01:11,T,52,6.1NRT,275.42,71.44,D
40.53751,141.50307,316.65,1.16,1.07,2021-10-19,01:15,T,58,6.1NRT,291.43,15.39,D
35.02795,136.88196,311.08,1.74,1.29,2021-10-19,01:17,T,0,6.1NRT,293.26,14.54,D
27.24255,140.87978,319.89,1,1,2021-10-19,01:20,T,70,6.1NRT,300.55,12.64,D
-7.7029,138.78604,317.71,1.89,1.34,2021-10-19,01:26,T,71,6.1NRT,295.45,21.44,D
-7.90237,138.81732,313.98,1.91,1.35,2021-10-19,01:26,T,60,6.1NRT,295.24,14.61,D
-7.70519,138.80305,335.01,1.9,1.35,2021-10-19,01:26,T,87,6.1NRT,296.38,73.29,D
-11.68435,132.77615,339.87,1,1,2021-10-19,01:28,T,70,6.1NRT,313.9,18.78,D
-12.81943,131.3591,331.64,1.02,1.01,2021-10-19,01:28,T,51,6.1NRT,305.33,9.63,D
-12.15621,136.49722,326.67,1.49,1.21,2021-10-19,01:28,T,71,6.1NRT,305.39,15.8,D
-13.59365,135.51639,333.17,1.34,1.15,2021-10-19,01:28,T,61,6.1NRT,312.28,18.41,D
-12.81804,131.34981,334.64,1.02,1.01,2021-10-19,01:28,T,75,6.1NRT,305.63,14.45,D
-12.81178,131.36975,334.23,1.02,1.01,2021-10-19,01:28,T,71,6.1NRT,309.62,12.21,D
-12.81039,131.36047,341.11,1.02,1.01,2021-10-19,01:28,T,84,6.1NRT,307.57,23.81,D
-13.53628,130.25822,327.96,1.08,1.04,2021-10-19,01:28,T,46,6.1NRT,302.49,14.19,D
-14.23447,135.59177,330.05,1.38,1.16,2021-10-19,01:28,T,50,6.1NRT,309.19,14.44,D
-12.809,131.3512,334.48,1.02,1.01,2021-10-19,01:28,T,74,6.1NRT,308.06,14.13,D
-12.80135,131.36185,350.7,1.02,1.01,2021-10-19,01:28,T,93,6.1NRT,307.55,42.6,D
-13.51759,131.71886,332.26,1,1,2021-10-19,01:28,T,76,6.1NRT,304.53,16.44,D
-13.27532,130.35861,330.37,1.07,1.03,2021-10-19,01:28,T,70,6.1NRT,306.9,16.85,D
-13.2721,130.39929,326.27,1.07,1.03,2021-10-19,01:28,T,45,6.1NRT,303.78,12.44,D
-14.71346,142.10579,322.87,4.34,1.92,2021-10-19,01:28,T,58,6.1NRT,297.48,70.51,D
-14.7117,142.11153,321.39,4.34,1.92,2021-10-19,01:28,T,24,6.1NRT,297.92,52.85,D
-13.37138,131.54027,332.87,1.01,1,2021-10-19,01:28,T,57,6.1NRT,306.32,10.9,D
-13.12116,130.02103,315.11,1.11,1.05,2021-10-19,01:28,T,42,6.1NRT,300.42,8.13,D
-13.11669,130.1523,332.17,1.1,1.04,2021-10-19,01:28,T,44,6.1NRT,307,16.79,D
-12.95534,130.30261,327.02,1.09,1.04,2021-10-19,01:28,T,29,6.1NRT,303.6,9.93,D
-12.94274,130.34514,331.28,1.08,1.04,2021-10-19,01:28,T,45,6.1NRT,307.78,15.63,D
-12.93192,130.33672,330,1.08,1.04,2021-10-19,01:28,T,27,6.1NRT,307.21,13.31,D
-12.9304,130.32681,331.73,1.08,1.04,2021-10-19,01:28,T,58,6.1NRT,307.87,15.44,D
-12.91481,130.34952,328.6,1.08,1.04,2021-10-19,01:28,T,46,6.1NRT,306.75,12.56,D
-12.90855,130.37071,328.36,1.08,1.04,2021-10-19,01:28,T,25,6.1NRT,306.24,12.35,D
-12.90703,130.36084,332.44,1.08,1.04,2021-10-19,01:28,T,72,6.1NRT,308.21,17.86,D
-12.90551,130.35097,329.86,1.08,1.04,2021-10-19,01:28,T,60,6.1NRT,307.23,14.11,D
-13.60397,135.51497,334.93,1.34,1.15,2021-10-19,01:28,T,76,6.1NRT,311.62,23.39,D
-12.80879,131.96916,333.39,1,1,2021-10-19,01:28,T,67,6.1NRT,307.63,12.03,D
-13.60023,135.56555,332.7,1.35,1.15,2021-10-19,01:28,T,69,6.1NRT,310.35,18.84,D
-12.77916,131.9549,334.89,1,1,2021-10-19,01:28,T,76,6.1NRT,309.29,12.47,D
-12.77018,131.95624,339.07,1,1,2021-10-19,01:28,T,82,6.1NRT,308.7,19.35,D
-12.76883,131.9471,344.26,1,1,2021-10-19,01:28,T,88,6.1NRT,309.87,27.64,D
-12.52136,130.43616,315.74,1.08,1.04,2021-10-19,01:28,T,55,6.1NRT,300.91,8.59,D
-13.16069,136.39478,326.36,1.51,1.21,2021-10-19,01:28,T,52,6.1NRT,307.09,14.39,D
-12.37437,132.27029,331.69,1,1,2021-10-19,01:28,T,33,6.1NRT,310.76,11.45,D
-12.3654,132.27162,335.05,1,1,2021-10-19,01:28,T,61,6.1NRT,312.53,17.15,D
-12.88598,136.31018,328.09,1.48,1.2,2021-10-19,01:28,T,38,6.1NRT,309.88,13.64,D
-12.85193,136.21867,337.38,1.46,1.19,2021-10-19,01:28,T,80,6.1NRT,307.73,35.8,D
-12.52686,134.35728,350.87,1.13,1.06,2021-10-19,01:28,T,94,6.1NRT,312.06,49.1,D
-12.70395,136.48599,331.37,1.51,1.21,2021-10-19,01:28,T,73,6.1NRT,305.74,27.57,D
-12.69483,136.5013,328.72,1.52,1.22,2021-10-19,01:28,T,56,6.1NRT,308.35,19.75,D
-12.69302,136.48741,344.67,1.51,1.21,2021-10-19,01:28,T,89,6.1NRT,307.76,64.95,D
-12.59444,135.81964,327.26,1.36,1.16,2021-10-19,01:28,T,32,6.1NRT,308.54,13.15,D
-12.62755,136.60133,330.74,1.54,1.22,2021-10-19,01:28,T,65,6.1NRT,307.73,21.01,D
-12.62571,136.58728,335.26,1.54,1.22,2021-10-19,01:28,T,78,6.1NRT,308.18,33.17,D
-12.61835,136.53122,330.74,1.52,1.22,2021-10-19,01:28,T,61,6.1NRT,307.28,23.27,D
-12.61471,136.58861,327.58,1.54,1.22,2021-10-19,01:28,T,52,6.1NRT,308.38,15.06,D
-12.60741,136.53265,327.17,1.52,1.22,2021-10-19,01:28,T,40,6.1NRT,307.52,13.94,D
-12.60558,136.51863,336.45,1.52,1.22,2021-10-19,01:28,T,80,6.1NRT,308.58,37.04,D
-12.1892,133.66887,351.66,1.05,1.02,2021-10-19,01:28,T,94,6.1NRT,316.07,43.63,D
-12.47233,136.62781,331.15,1.54,1.22,2021-10-19,01:28,T,56,6.1NRT,303.99,24.3,D
-12.47307,136.64798,333.6,1.54,1.22,2021-10-19,01:28,T,74,6.1NRT,305.4,30.12,D
-12.47119,136.63388,346.39,1.54,1.22,2021-10-19,01:28,T,90,6.1NRT,304.87,69.63,D
-11.39674,132.13336,333.77,1,1,2021-10-19,01:28,T,34,6.1NRT,306.65,15.5,D
-11.40572,132.13202,342.48,1,1,2021-10-19,01:28,T,84,6.1NRT,307.93,28.03,D
-13.60323,135.6674,328.96,1.37,1.16,2021-10-19,01:28,T,52,6.1NRT,310.45,12.16,D
-13.55075,135.50963,337.76,1.34,1.15,2021-10-19,01:28,T,78,6.1NRT,313.48,27.64,D
-13.54914,135.49734,351.63,1.34,1.15,2021-10-19,01:28,T,94,6.1NRT,313.37,68.89,D
-14.15098,141.69759,321.71,3.97,1.85,2021-10-19,01:28,T,36,6.1NRT,299.35,60.51,D
-13.62034,130.38959,333.09,1.06,1.03,2021-10-19,01:28,T,74,6.1NRT,308.69,23.94,D
-13.62185,130.39934,327.8,1.06,1.03,2021-10-19,01:28,T,43,6.1NRT,304.7,16.23,D
-14.33629,133.98346,335.26,1.13,1.06,2021-10-19,01:28,T,67,6.1NRT,311.49,16.7,D
-12.46932,136.6198,332.52,1.54,1.22,2021-10-19,01:28,T,60,6.1NRT,304.87,27.62,D
-12.46204,136.64932,352.11,1.54,1.22,2021-10-19,01:28,T,95,6.1NRT,307.06,92.77,D
-12.46018,136.63521,347.89,1.54,1.22,2021-10-19,01:28,T,91,6.1NRT,308.41,74.48,D
-12.45103,136.65074,331.95,1.54,1.22,2021-10-19,01:28,T,59,6.1NRT,306.74,24.31,D
-12.35426,135.92114,330.46,1.37,1.16,2021-10-19,01:28,T,53,6.1NRT,309.41,15.77,D
-12.25105,135.38414,326.29,1.27,1.12,2021-10-19,01:28,T,44,6.1NRT,308.48,9.85,D
-12.39239,136.62973,330.23,1.54,1.22,2021-10-19,01:28,T,30,6.1NRT,308.37,18.78,D
-12.39118,136.63628,330.23,1.54,1.22,2021-10-19,01:28,T,62,6.1NRT,307.17,20.69,D
-11.68568,132.78529,336.49,1,1,2021-10-19,01:28,T,68,6.1NRT,311.99,14.36,D
-17.53043,132.76067,363.47,1.07,1.03,2021-10-19,01:30,T,100,6.1NRT,316.23,81.59,D
-17.53183,132.77072,343.77,1.07,1.03,2021-10-19,01:30,T,80,6.1NRT,311.27,30.16,D
