latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
19.39759,-155.31044,333,3.95,1.85,2021-10-11,00:24,A,80,6.1NRT,289.44,224.98,D
19.40784,-155.28192,328.69,3.97,1.85,2021-10-11,00:24,A,60,6.1NRT,288.65,179.95,D
18.92907,-70.34509,301.82,1.34,1.15,2021-10-11,03:10,T,44,6.1NRT,290.4,5.65,N
18.92756,-70.35754,311.79,1.34,1.15,2021-10-11,03:10,T,83,6.1NRT,291.5,15.46,N
35.28571,-90.80164,318.26,4.41,1.93,2021-10-11,03:15,T,97,6.1NRT,292.25,135.12,N
35.28721,-90.80898,319.32,4.41,1.93,2021-10-11,03:15,T,98,6.1NRT,292.29,145.15,N
40.38953,-79.85334,300,1,1,2021-10-11,03:17,T,5,6.1NRT,288.45,4.68,N
41.46402,-81.6786,302.75,1.04,1.02,2021-10-11,03:17,T,51,6.1NRT,282.24,7.15,N
18.09636,-94.05766,312.89,1.52,1.22,2021-10-11,04:49,T,85,6.1NRT,295.29,17.62,N
18.50787,-96.15456,314.18,1.15,1.07,2021-10-11,04:49,T,89,6.1NRT,295.82,13.4,N
17.84083,-93.11562,329.86,1.76,1.3,2021-10-11,04:49,T,100,6.1NRT,295.27,61.14,N
17.89131,-93.1884,306.59,1.74,1.29,2021-10-11,04:49,T,66,6.1NRT,295.61,10.74,N
17.83895,-93.13204,314.54,1.75,1.3,2021-10-11,04:49,T,89,6.1NRT,295.03,24.94,N
17.90486,-93.17352,307.49,1.74,1.29,2021-10-11,04:49,T,70,6.1NRT,295.49,11.69,N
17.9029,-93.18987,319.38,1.74,1.29,2021-10-11,04:49,T,98,6.1NRT,295.3,32.96,N
17.90111,-93.17861,316.87,1.74,1.29,2021-10-11,04:49,T,94,6.1NRT,295.62,27.55,N
17.89927,-93.19501,311.19,1.74,1.29,2021-10-11,04:49,T,81,6.1NRT,295.5,17.26,N
17.90854,-93.51774,327.25,1.65,1.26,2021-10-11,04:49,T,100,6.1NRT,295.32,49.19,N
17.90672,-93.53314,313.25,1.64,1.26,2021-10-11,04:49,T,85,6.1NRT,295.27,20.79,N
18.09804,-94.04347,317.93,1.52,1.22,2021-10-11,04:49,T,96,6.1NRT,295.17,25.78,N
26.10236,-98.30309,308.45,1.1,1.05,2021-10-11,04:51,T,67,6.1NRT,296.98,6.27,N
26.10374,-98.2922,315.97,1.1,1.05,2021-10-11,04:51,T,91,6.1NRT,297.22,12.9,N
26.88338,-101.45106,313.78,1.02,1.01,2021-10-11,04:51,T,87,6.1NRT,298.48,9.25,N
27.54521,-97.58528,312.3,1.22,1.1,2021-10-11,04:51,T,82,6.1NRT,296.73,12.46,N
29.96035,-93.8946,310.34,2.26,1.46,2021-10-11,04:51,T,80,6.1NRT,293.2,29.44,N
30.5852,-90.53134,303.6,3.92,1.84,2021-10-11,04:51,T,56,6.1NRT,292.1,36.81,N
30.60183,-90.53268,304.23,3.92,1.84,2021-10-11,04:51,T,59,6.1NRT,292.14,39.8,N
30.5906,-90.53677,310.32,3.92,1.84,2021-10-11,04:51,T,80,6.1NRT,292.15,70.9,N
31.58391,-102.1573,301.23,1,1,2021-10-11,04:51,T,39,6.1NRT,286.66,6.26,N
30.48973,-109.63043,310.21,2.46,1.51,2021-10-11,04:51,T,79,6.1NRT,283.19,44.05,N
30.49742,-109.6381,308.63,2.46,1.51,2021-10-11,04:51,T,75,6.1NRT,283.02,42.86,N
33.41011,-110.87707,305.05,2.52,1.53,2021-10-11,04:53,T,63,6.1NRT,286.08,34.36,N
33.41566,-110.85157,307.66,2.51,1.52,2021-10-11,04:53,T,72,6.1NRT,285.4,40.1,N
18.92564,-70.34375,304.31,2.26,1.46,2021-10-11,06:01,A,59,6.1NRT,291.06,18.21,N
18.92925,-70.3511,304.47,2.26,1.46,2021-10-11,06:01,A,60,6.1NRT,291.09,17.24,N
47.38653,-124.08401,301.77,1.73,1.29,2021-10-11,06:35,T,44,6.1NRT,275.33,19.97,N
42.29961,-83.16653,302.48,1.02,1.01,2021-10-11,07:33,A,49,6.1NRT,290.45,5.45,N
33.44647,-88.56564,305.54,1.31,1.14,2021-10-11,07:35,A,65,6.1NRT,292.3,10.24,N
30.59597,-90.51582,322.79,1.57,1.23,2021-10-11,07:37,A,100,6.1NRT,293.08,40,N
30.59776,-90.53204,304.13,1.57,1.23,2021-10-11,07:37,A,59,6.1NRT,292.3,11.28,N
